business_id,name,city,state,latitude,longitude,stars,review_count,categories_raw,categories,price_level,top_reviews,tag_nightlife,tag_adventure,tag_shopping,tag_food,tag_urban,tag_sum,price_proxy
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,39.9555052,-75.1555641,4.0,80,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","['restaurants', 'food', 'bubble tea', 'coffee & tea', 'bakeries']",1.0,"['I really enjoyed my brief visit to St.Honore Pastries. I\'d originally planned to go to one of the newer spots but I\'ve been here many times and knew they wouldn\'t disappoint me. I wish the rest of the city was like Chinatown that place is always jumping it feels like NYC. \n\nService 4.5/5\nThe counter lady was all business but the two people in front of me were elderly and I thought she could have been a little gentler with their cake box. I\'d a feeling there was an actual cake inside and the man commented to me that ""this is a peaceful place,"" right before she slammed his cake box on the counter. Now he epitomized customer loyalty but I could see (though he didn\'t say it) he didn\'t feel appreciated by the counter lady. A loyal customer is special and should be treated accordingly. \n\nAmbiance 3/5\nI\'ve been here before it\'s not peaceful. But I enjoyed the people watching. There are usually senior citizens sitting together watching the news in Chinese with a cup of coffee or tea it\'s lovely to see them. And even better b/c the scent of coffee wafting through the cafe/bakery smelled divine. I didn\'t order it though b/c I\'m a habitual insomniac so no caffeine for me after 2pm.\n\nFood\nEgg tart 3/5\nThough it was delicious it was way too sweet for me and i love sweets. The tart crust was perfect but the egg custard was too sweet. I won\'t order it again although it was very creamy and otherwise cooked perfectly.\n\nRainbow cake 5/5\nNot too sweet - it was perfect and just the right amount of frosting. The sponge cake was moist and had the right texture. I basically have the pallet of a little kid so if i see rainbow sprinkles i say yes please.\n\nMy check came to $2 so I highly recommend you make a visit and try different items b/c at those prices you can afford to take some risks !', 'Impression: The good thing is that there are like 5-6 of these kinds of Asian Chinese bakeries around Chinatown- Mong Kok is another one that sells the same get up: sesame balls, roll cakes, taro buns, egg tarts, meat buns, ham and cheese breads- your typical Hong Kong South East Asian kinds of bakeries that sell their fares for less than 1$ each. The bad thing is, b/c it is the same as the rest, it may be hard to find something you\'ve never tried before- but their cheese cakes looked to be their stand apart from other bakeries. This is the only ""Asian"" bakery on this street across from Nine Ting, the new Taiwanese popcorn chicken, right by Red King BBQ, and Wong Wong Restaurant. It\'s a solid Chinese bakery- neither fancy nor cheap and poor quality, neither special or bland but solid if you\'re looking for the typical Chinese desserts and pastries \n\nBecause it\'s cheap, feel free to load up on a large stash of goodies! Egg tarts were 0.80$, sesame balls were also 0.80$ and the green tea roll cake was only 3.50$. I like to take these treats home and eat them slowly over the next few days. The sesame balls and the tarts taste great if you stick them in the microwave and zap it for 30 seconds to 1 min. Pair it with some good tea and you got yourself a nice afternoon tea for your studies/work/friends', ""The pastries are decent but the coconut bread and raisin breads are very dough-y and had the tendency to stick to the roof of your mouth.  The coconut bread only had a very scant amount of shredded coconut and was, itself, a bit on the bland side.  Definitely not even close to what you would get in Flushing.  We had to toast the bread just so we could actually swallow i The sesame butter cookies were fantastic: light, crisp, covered in sesame seeds, and containing the perfect amount of sweetness.  These are much akin to the butter cookies from Roma's and Isgro's, except with an Asian twist, compliments of the sesame seeds.  The almond puffs are also quite delish and very flaky and light with plenty of sliced, toasted almonds and a drizzle of honey on top.  The egg tarts are great with a flakey, layered, and buttery crust.  Come here for the cookies, egg tarts, and pastries, not for the breads.""]",0.0,0.0,0.0,1.0,0.0,1.0,15.0
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,39.953949,-75.1432262,4.0,245,"Sushi Bars, Restaurants, Japanese","['sushi bars', 'restaurants', 'japanese']",2.0,"[""Finally got a chance to check this place out for an early dinner on a weeknight and I loved it! I was really craving sushi so when my girlfriend recommended this place I was totally into it. I definitely did not expect to have a new favorite sushi spot!\n\nWhen I say early dinner, I'm talking 5pm which means we made it just in time for happy hour. Their happy hour deals include wines, one of their signature cocktails (I believe it was a whiskey cocktail on the day that we went) and a select few bites. Although we passed on their drink specials, we did order their $6 dumplings and a spicy salmon roll. As for drinks, we both ordered off of the cocktail list. She got the Shiso Picate which comes with mezcal and jalapeño and I got the Winston's Heat with gin, wasabi and cucumber. We both loved our drinks - so much so that we were happy to get a second round!\n\nAside from the happy hour food that we got, we also ordered the fried Brussels sprouts, Tuna Tartare, and the Fishtown roll. The Brussels sprouts came in a fairly large bowl and were fantastic. I'm a huge fan of Brussels sprouts and and these were some of the best I've had in Philly - and trust me I've had my fair share! The tuna was a choice my friend made and it was also very good. Lastly the roll we got was so delicious and very filling! It was loaded with shrimp tempura and fish. \n\nThe restaurant is very pretty, clean and spacious. Staff was attentive and checked up on us frequently. \n\nI can't wait to drop in to Tuna Bar again soon when the next sushi craving hits!"", ""Loved Tuna Bar! Upon entering I was so impressed with the modern, trendy space and impeccable attention to detail every where I turned. So many decor pieces and architectural aspects I love here! They had me at wrap around banquet seating in a pop of turquoise. I had a feeling I was in for a good meal from the interior design alone. I was...\n\nFirst visit was for a casual, lighter lunch with my daughters and an old girlfriend which it was just perfect for! We did make ressies on Open Table which wasn't necessary for a mid week lunch, but I would suggested for dinner. \n\nWhile we stuck to some basics, they were pretty great! California, California with real crab made crispy, cucumber roll, peanut avocado (the kids' favorite!), seaweed salad, edamame, and incredible Brussels! Must order! Everything was super fresh and came out in a timely fashion. \n\nService was fantastic! \nPrices were fair. \n\nI can't wait for my next visit perhaps for date night when I can taste some of those delicious sounding cocktails and dig into some entrees. \n\nI love having Tuna Bar as a new option in the Old City area just a bit away from the hustle and bustle, whether that be for lunch, happy hour (which sounded really great!), or dinner...with the kiddos, or without. It will be be on my radar for the next First Friday or after a movie at The Ritz!\n\nI actually found it a tad difficult to spot from the street. It's the door just to the left of United Blue. Not a huge sign. It's there, trust me :) \n\n*Limited kiosk meter parking."", ""Tuna Bar is an awesome new addition to the Old City neighborhood! \n\nThe decor at this place rocks - the space is bright and airy and inviting. It's brand new, so it's clean and beautiful. \n\nThe service rocks- all of the servers were super friendly, and the bartender was great. We had a tasty gin cocktail with orange. \n\nThe food was all pretty good. The seaweed salad was decent, can't say it was particularly standout. The sushi was all tasty- fresh and presented beautifully. The crispy fried shrimp bites with tuna and caviar on top were my favorite dish - YUM. Also reallllly enjoyed the tuna tartar. \n\nThis place is awesome- definitely worth a stop in when you're in the area!""]",0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,30.0
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,39.943223,-75.162568,4.5,205,"Korean, Restaurants","['korean', 'restaurants']",1.0,"[""I've been told I have nice BAPs. I have no idea what that means.\n\nBooty And Pecs?\nBum And Posture?\nB*lls And P**is?\n\nWho knows.\n\nBut anyway. This is the only Korean food I've had in Philly and I liked it. A lot. Especially the price.\n\nI ordered Yuk Gae Jang as I always do.\n\nThis YGJ was nothing like anything else I've had - in fact idk if it was even YGJ to be honest lol - but at this price who is complaining. Five dollars or so. It was just like really delicious beef soup and I pretty much finished the whole thing despite not being that hungry. Lovely service too.\n\nSpeaking of lovely service, want to check out my BAPs?"", ""On one of the coldest evenings of the year, I found myself hungry and on South Street.  Fortunately I knew right where to head...the tiny Korean hole-in-the-wall called Bibimbap...or for short BAP.  Inside it was bright and warm and the friendly owner had Yukaejang - a spicy beef soup - cooking.  Of course I ordered it to warm up.  I then followed it with a tasty Dolsot Chicken Bibimbap with extra Gochujang sauce.  A cup of hot ginger/cinnamon tea completed the meal.  BAP is the kind of little café you can find on the back streets of Seoul or Pusan.  I'm glad we have it in Philadelphia!"", ""I shouldn't write this.\n\nI should be selfish and keep this little cookery & it's kind owner all to myself.\n\nBut that would be unfair to him, and I suppose you eating reading humans.\n\nGet it while you can though.  This guy cooks as if for his own family.  He is so happy to have you try his food.  Best Beef soup & BimiBap & Korean tea I've ever had.   \n\nAs in life, esp new food joints, all good things come to an end, enjoy while you can.""]",0.0,0.0,0.0,1.0,0.0,1.0,15.0
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,Philadelphia,PA,40.0723302045,-75.0484833435,4.5,58,"Keys & Locksmiths, Home Services, Local Services","['keys & locksmiths', 'home services', 'local services']",,"[""On a recent frigid winter morning, I realized that I had lost the only set of keys I have to my car (folks, always have a spare, somewhere). I originally called West Philadelphia Locksmith, but after a horrible phone experience with that company, I consulted Yelp for a second recommendation and found AM PM.\n\nThe owner and locksmith who responded to my call, Shai, was courteous, professional and efficient. He managed to get from Northeast Philly to South Philly in about 45 minutes (during rush hour traffic, no less), and in a little over an hour, he had made not one but two keys to my car. \n\nI highly recommend. Obviously the other Yelp reviewers who've used AM PM Locksmith feel the same."", ""I bought a car and drove it from NYC to Philly without a problem. But after I got home I somehow activated the alarm system and could not step on the brake without my car siren sounding obnoxiously; essentially, I had a car that I couldn't drive. Contacted AM&PM yesterday and had an appointment for this morning for the car to be looked at; also, I wanted to make a spare key since I was only given one master key. \n\nWell, I think I was somehow lost in the system because the technician did not show within the time frame. But after I called back I was told that he would be there within the hour, and everything went uphill from then on. Shay was courteous and professional and disarmed the alarm system and made a transponder key for me in no time. The key cost $145 (so it's definitely more than what the previous reviewer paid for but I think it also depends on the car; I think $145 is still reasonable for a transponder key though); all in all I got me a new key and a drivable car for $225 so I think that was pretty decent. I am satisfied with the service and will use them again if I ever have the misfortune of experiencing lock problems in the future.\n\nEdit: Not even 20 mins after this review was up Shay called and apologized for being late to the appointment. He stated he would refund the service fee. I was very surprised and pleased that he took the time to look at the reviews and actually cared. As I said before, I was satisfied with the service because AM&PM really knew what they were doing. But now I'm impressed at the customer service as well."", ""Quick 24hr effificent locksmith. Charlie was our tech and he was very fast and understanding. The work was done well and quickly. Not the cheapest but we didn't mind paying for same day quick excellent service. We couldn't be more pleased.""]",0.0,0.0,0.0,0.0,1.0,1.0,
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,New Orleans,LA,29.9506467229,-90.0744274301,4.5,350,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces","['nightlife', 'pubs', 'event planning & services', 'wine bars', 'bars', 'gastropubs', 'restaurants', 'venues & event spaces']",2.0,"['Friends and I had a blast for bottomless brunch on a Saturday early afternoon. As soon as we arrived, we were brought upstairs and seated close to the balcony. The lighting was gorgeous, as was the moody decor in the room. Our server Antonio greeted us promptly and was a delight!\n\nWe ask for menu recommendations, and learned that you truly could not go wrong with anything you ordered. We were told that bottomless brunch was available for $25 per person and that each person needed a meal in order to be served. That worked for us because it was exactly what we planned to do. We were brought small carafes of orange juice and cranberry juice and Antonio filled our glasses with champagne.\n\nTo eat, we shared the black truffle fries, bacon wrapped dates, crawfish beignets, and bianca flatbread. For our mains,  a friend and I shared the crab benedict and apple fritter french toast. The bacon wrapped dates were incredible, and we were able to add an additional piece to make it 4 instead of the 3 it usually comes with. Others tried the Ancient Grains Salad and the Shakshuka. Everything was a hit! \n\nWe did not feel rushed to leave, and continued to pick at our plates while we chatted and drank our mimosas. Since our table was 6 people, there was an 18% auto-gratuity added to our check with the ability to tip on top.\n\nWhat a great spot for a bottomless brunch!', 'I will be returning. Because I just still cannot believe I enjoyed EVERYTHING I tried at Copper Vine. Yes I am a bit animated but I\'m not exaggerating my experience--I truly recommend this place! Me and my friends came here for Saturday brunch to celebrate a birthday so we had it on our mind to spend some $$$. The restaurant is gorgeous. The patio was to die for; I didn\'t know if i wanted to sit inside, at the bar, on the patio or on the balcony (yes balcony!). Our server Justin was amazing. From the first introduction we fell in love with their personality. Great service really makes a good place a great one. Antonio also helped us towards the end of our visit. They were both funny, knowledgeable & provided great service  \n\nWe got bottomless mimosas and I swear we never saw the bottom of our glasses.... That was a first! Most places make you buy a bottle and call it ""bottomless"" or give you a glass or two but here you will keep getting that champagne refill until you LEAVE. And in great Louisiana fashion you can take your mimosa to go :) okay let me get to the food\n\nApps:\n- Jumbo lump crab deviled eggs\n- Black truffle fries\n- Filet mignonette brochette (Our FAV! The mushrooms were the best part... seasoned & cooked to perfection wow)\n- Pork belly & corn fried oysters (least favorite but it was not bad. I would just recommend the other apps if it\'s your first time)\n\nEntrees:\n- Jump lump crab Benny (our server Justin recommended this for me! I added steak on the side also) \n\nCocktails:\n- Bottomless mimosas (we had orange juice, cranberry, & pineapple juice. All yummy but the pineapple juice was an all around fav because of how fresh it tasted) \n\n- Everything\'s Coming Up Roses: I usually stray away from floral drinks because it\'s too overwhelming or not blended well but I surprisingly enjoyed this mix. Told Justin to send my compliments to the bartender fr ahah! \n\nOf course after we left someone told me I should\'ve tried the beignets smh. No worries I\'ll be back xD', ""The Mothers Day Brunch was simply fantastic!!  I enjoyed the Bottomless Mimosas, which I highly recommend!  It's served with champagne in a glass w/orange juice on the side so you can mix your own perfect blend.  My appetizer and entree of choice were the Jumbo Lump Crab Deviled Eggs & Almond Crusted Gulf Fish.  The eggs were light, seasoned well, and the perfect amount.  The fish was light, flaky, well seasoned, and so delicious!  The greens (underneath) and cream sauce, garnished w/caviar, and roasted almonds all created bursts of flavor!  The ambiance was warm & inviting.  Our server was attentive and accommodating to special requests.  I recommend this restaurant for special occasions or just because!""]",0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,1.0,30.0
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,New Orleans,LA,29.9554151,-90.0700619,4.0,382,"Restaurants, Seafood, Cajun/Creole","['restaurants', 'seafood', 'cajun/creole']",2.0,"[""The Barge Seafood Plate is always filled with perfectly fried goodness. I don't know that the Onion Rings are worthy of the best in America title, but they too are pretty good. The bartenders are friendly and work together well to provide attentive service. The drinks are a step above dive bar quality. If you're looking to indulge in fresh fried seafood, Mahoney's is one of the best in New Orleans."", 'This was our very first meal upon arrival in New Orleans and the French Quarter. We decided we wanted to check something off the list right away and have some Po Boys. Fried shrimp Po Boys ($9.95) to be more specific. \n\nWe went this past Friday afternoon around 4 pm. We were seated quickly and ordered the Po Boys. The service certainly left much to be desired. The young lady who was our server couldn\'t have been much more disinterested in being there if she tried. She very much ""mailed it in"".\n\nLackluster service aside, the food actually quite good and the portions very generous! Even the fries were pretty damn good!\n\nThe food was very enjoyable, but service does count. Based on my experience here, I would Mahony\'s  3 stars. I would definitely go back and hope I had a more engaging and friendly server next time.\n\n3 stars.', ""This restaurant is very touristy but it still has decent  food. I don't think there was a single local dining here on the day I came, so that tells you something. I got a fried catfish po-boy and it was not bad, but not really memorable either. My husband got the crawfish etouffé which was considerably better than my sandwich, so I recommend trying it if you're here. Overall not a terrible place for food, but there's better within walking distance.""]",0.0,0.0,0.0,1.0,0.0,1.0,30.0
t5tBd4p7BA7hNDitBUXxrw,Boise Therapeutic Massage Center,Boise,ID,43.6119488,-116.2711098,4.0,68,"Massage, Health & Medical, Medical Spas, Beauty & Spas","['massage', 'health & medical', 'medical spas', 'beauty & spas']",2.0,"['Let me start with the disclaimer that everyone\'s idea of a ""great massage"" may be something different.  Some go in for the relaxation, new age-y, hot stone, aromatherapy factor, while others, like me, are in constant, back-twisting, jaw-clenching pain that ranges from ""let me turn my entire body around to see that big boulder careening down the hill towards, cuz I can\'t turn my neck"" to ""yes, perhaps heating up that big boulder and dropping it on my back will relieve me of this @#$!# back pain.\n\nBoise Therapeutic Massage Center is of the latter massage variety.  It employs a team of massage therapists with varying abilities and has as many massage rooms as I have knots in my back.  The first time I went I got a lady who was new to the company (yeah, I know what you\'re thinking), but she was OK.  Obviously experienced, and did a good enough job in loosening *some* of the tightness.  She didn\'t appear to be as well educated in the different pathways of the nerves and muscles  than some of the other therapists I\'ve had before.  \n\nSecond time around I got someone who seemed straight out of massage school, as she was telling me that my asdhfj muscle was weruye-ing, so I felt tightness in my freakin\' xdcnxj and lhkpkcg.  Another unique thing about this particular massage was that the lady had me starting on my back, whereas all other massage therapists I\'ve been to always have me face down first.\n\nHowever, whatever she did worked, and my zzksdf felt better immediately and for days afterwards.  The second masseuse wasn\'t as verbal as the first one (ie. How does this pressure feel?  Is this OK?), but she got a good sense of what was going on and applied the appropriate amount of pressure.  The best part about massage here is that it\'s quite affordable, compared to other places I\'ve been.  Definitely worth going again when my @#*$# starts acting up again.', 'I\'m beginning with 4 stars only because this was my first visit to Boise Theapeutic Massge. I plan on returning and editing this review after more visits. Let\'s start with me calling less than 24 hours in advance and was able to book an appointment for the next morning. It was nice knowing I didn\'t have to book a week in advance. The woman on the phone when I booked was extremely nice. I\'m being a little nit-picky, but I would have only had a 60 min appointment had I not asked. This seems typical for most spas, massage centers I have made appointments at. Unless asking for 90 min or something special you will be booked for a standard 60 min massage. Still, there was no problem with the times I wanted and being able to have a 90 min massage. \n\nQuick notes before I describe my session:\n- BTM was a nice, clean facility\n- I arrived a bit early for standard paperwork since this was my first time there and they were already ready for me and had me do paperwork after. I liked this because I received the entire 90 min and not a single minute was wasted on filling out new patient info \n- My CMT actually listened to what I wanted/needed! Bonus points\n- The staff was very friendly\n- I am already recommending to friends\n\nMy session was with Kim, and I have already told at least one friend about her. Most of my experiences with MT is they ask what the issue(s) is, but I never feel like they listen to what I just said. My workout consists of a lot of body-weight squats. My glutes and legs are my problem areas. Typically my experiences with MT is they ignore what I said about my legs, work on my back, end up with 30 min on my legs, and then say they could use the whole hour on my legs. Yes, I know. That is why I said focus on my glutes and lower legs. \n\nAdditionally, it is rare that I have had a MT really work my glutes. I get it....not necessarily a body part people want to touch. However, I have only had one MT really ever work my glutes the right way. Kim listened to what I said about my glutes and legs, and wasted no time getting into them, I immediately started feeling better after she finished my right side. This fact alone will have me returning to her at least twice a month! \n\nThe best compliment I believe I can give, is to say Kim actually listened to what I had to say about the problem areas. She worked on these areas for the majority of my appointment. There have been countless massages where I felt I over paid because I didn\'t receive what I was asking for. If you are asking, ""ok, but does he tell them during the massage?"", yes...yes I do! \n\nI plan on returning in a couple of weeks. If my experience continues this way then I will definitely give them 5 stars. It was a great massage. I felt so good after, and even 24 hours after I still feel great (even with delayed soreness which is typical for me). Ask for Kim Donovan...she was great because she actually listens to her patients!', ""I would give this place 6 stars if I could. I'm almost 6 mo. pregnant and my husband and I drove up from Los Angeles.  The long drive in combination with sleeping in different beds every night for the past few days caused me to have sciatic issues and numb arms that I'd never felt in before. I had seen a chiropractor a couple days before when we were in Portland, but I was still in pain and couldn't sleep at night.  I was miserable, on the verge of tears!  \n\nI found this place through Yelp and called as soon as I arrived in Boise.  They were able to schedule an appointment for me within 15 minutes with Merlene. Merlene is someone who has met her calling and is the very best in her field as far as I'm concerned.  She not only cured my ailments, she also helped me figure out what was causing my pain.  She recommended pillow placements and some stretching that would help me sleep better.  I haven't had any problems since!  After my appointment, I had a whole new outlook on life and optimistic about the rest of my pregnancy. If money were not an issue, I'd fly up every week to get regular prenatal massages.""]",0.0,0.0,0.0,0.0,1.0,1.0,30.0
E-nhxuu3zbt02oCj_1AFng,Selah,Tucson,AZ,32.2280919,-110.9698038,5.0,60,"Waxing, Hair Removal, Skin Care, Eyelash Service, Beauty & Spas","['waxing', 'hair removal', 'skin care', 'eyelash service', 'beauty & spas']",1.0,"[""Hannah has been my go-to gal for eyebrow waxing for years, and I always leave her studio a happy camper. She is so good at what she does, and I get compliments a lot on how what great eyebrows I have. Though I'm tempted to lie and take credit for my naturally fabulous eyebrows, I give Hannah all the credit, and anyone I've sent her way raves about the experience. My oldest daughter has had bikini waxing here, which can be awkward for a teenager - but Hannah is so sweet and relaxed, she put her right at ease. I've also been to Vanessa when Hannah wasn't available, and she is equally skilled. \n\nI love the new studio, which Hannah (with help from her husband) renovated herself!\n\nThey sell skin products here as well. I decided to try the prickly pear sunscreen, and it has such a nice consistency and smells yummy. \n\nI recommend Selah without reservation."", 'The ladies here (Vanessa and Hannah) have been doing my waxing for some time now so naturally when they moved over to Selah I followed. Same wonderful results in a beautiful and modern space. \n\nI have never been disappointed when these ladies, particularly Vanessa, do my brows. People who have gotten a bad brow job realize the skills and time it takes to create good looking brows. Vanessa takes time with my brows, and is somewhat of a perfectionist, which is all right by me. I have kinda weird brows, they are sparse in some parts and have that weird peak thing I hate.  However, Vanessa makes my brows looks like that of a normal person! Mad props.\n\nAlso, the space is sooo cute! It is a 2 floor setup, with two separate living areas with a modern and feminine décor. It is a very inviting space. I got the tour of the place and Selah is looking to offer facials in the future. \n\nThis is such an asset to the local Tucson business community. Looking forward to a future of great brows!', ""Hannah at Selah is one of the best waxers around!! {Is waxers a word???}\n\nAnyway, my dotter and I have been seeing Hannah for probably around three years and she just opened her new, beautiful little shop near campus/downtown/4th Ave. \n\nI could not be a bigger fan of Hannah's. She's incredibly gentle and thorough in all the services she provides. My daughter has VERY sensitive skin (she's actually ended up with long-lasting red marks in the past with other aestheticians before who had been a little rough) but Hannah does such a great job that I never worry. \n\nAlso, the prices are incredibly reasonable. I love that it doesn't cost me a million dollars just to keep my eyebrows from looking like Fran Stalinovskovichdavidovitchsky from Dodgeball (google it if you don't know and then sit down and watch that movie because it's one of the greats). \n\nMy next appointment is with Vanessa to try some eyelash extensions. I'm excited!! {Although I now realize the irony of removing too much hair from one place on my body only to have extra hair attached to another place on my body. What a crazy world we live in).  \n\nLove these Selah girls!""]",0.0,1.0,0.0,0.0,0.0,1.0,15.0
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,Philadelphia,PA,39.9764555,-75.1270254,4.0,105,"Food, Coffee & Tea","['food', 'coffee & tea']",1.0,"['Aaah sweet ReAnimation!! \n\nGreat espresso extraction, brown sugar notes, berries, sweet not over roasted  and for that it keep the fruit notes, sweetness and great balance of acidity. Now, this is how it\'s made! I use to love Ultimo Cafe in Phily, but about a year ago something changed and even though it\'s getting a lot of hype is not my favorite anymore. (Not consistent enough and terrible service...: ""Ultimo Cafe"")\n\nI have bought ReAnimator coffee bans before and they have proven consistent over a one year period. I\'m so exited that I finally got to come to their coffee shop. It was as good as you can expect.  The hipster Baristas are friendly, knowledgeable about the product and therefore getting the optional taste on their extractions and brewing. \n\nThe place is industrial looking with great ample space for savoring and concentrating on work.', ""I enjoy coffee.  That's no secret.  Up until today, I had been enjoying ReAnimator coffee from my normal shop in CC (HubBub) and buying it at Whole Foods.  After deciding that I needed more Fishtown in my life, I made the pilgrimage and I'm happy I did.\n\nIt's located on a great corner.  With the other spots right around, it makes ReAnimator easy to get to and a great spot for an after meal cup of joe or shot.\n\nI visited on a Saturday morning and it seemed completely peaceful.  If you're the type to sit, read, work or just relax this shop will work for you.  It spacious, nicely designed and the coffee they are turning out is some serious product.  I didn't recognize the espresso machine they were using but it pulled a beautiful, velvetty shot and was exactly what I was looking for.\n\nMore wonderful coffee in Philadelphia, what's not to love?"", 'Time for a confession: when I first saw that we were getting another coffee shop in Fishtown, I bitched and moaned about it to everyone I could find. (""Haven\'t we hit coffee shop saturation already? Couldn\'t we have an actually useful business, like a dry cleaners?"")\n\nAfter my first visit, I had to take it all back. This is the best coffee I\'ve had since I-don\'t-know when, and unlike Rocket Cat the staff here is friendly and helpful, and the space is inviting, and really well set up for reading, working, conversation, whatever. I\'m psyched this place is on my block...though I\'m still holding out for that dry cleaners.']",0.0,0.0,0.0,1.0,0.0,1.0,15.0
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,Tampa,FL,28.09236,-82.500588,4.0,108,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues","['bars', 'pubs', 'nightlife', 'arts & entertainment', 'irish', 'restaurants', 'music venues']",2.0,"[""I am second generation Tampa Native and I have been going to O'Briens pub since i was legally able to drink. My friends and I spent many a St Paddy's day getting smashed and fighting in the parking lot at the old location. \nI love this pub, and it has a ton of regulars that show up every single weekend and weekday to drink, eat, socialize, and have a good time.\nThere is inside and patio seating (dog friendly& smoking allowed) a stage, and an area to chuck some darts. The patio has huge A/C units for summer and heaters for winter.  There is live music on weekends and trivia on Wednesdays, and other things going on during the week. \nThe bar is fully stocked with whatever you need to get your Guinness fix or hard liquor buzz. They have a great happy hour and I have enjoyed it many times. \nThe food is typical Irish Pub food and I really enjoy the Shepards pie, bangers and mash, and their burgers. It's a big menu with many different choices for the whole family. \nThe St Patricks day celebration is a huge event with all kinds of locals and regulars coming out of the woodwork to Party like the Irish. \nDo yourself a favor and give them a try, maybe you'll become a regular too."", ""Check in to save $5 off a $25+ order. Miss MARY was phenomenal-- friendly, attentive, fast, & professional. She was so sweet; she brought me extra blue cheese because she was worried that my special order wings might be too dry. Whenever we needed her attention, she was at our table quickly. \n\nThe wings were really good (not dry) & our catered entrees of pasta, Greek salad, chicken tenders, Shepherds Pie, & Cuban sandwiches was very good as well...or so I was told by six table mates who laughed @ me for taking pics for Yelp:) \n\nThis Irish pub has an excellent staff (everyone was very friendly), there's a live band (unsure of the nights, but definitely Friday & Saturday), & the food is quite standard pub fare (& good). There are six TVs on the wall. If I lived in the area, I'd definitely stop in for booze & finger foods on a regular basis. Just a comfortable atmosphere. \n\nIf you need a venue to hold a work or sports related (etc.) event, the staff here puts out a great spread & follows up w/ excellent, friendly service. Kudos to everyone! \n\nGo rainh maith agat!"", ""Bartender Mike & the regulars made us feel right at home.  Excellent service, my bf is from Ireland & loved the Fish 'n Chips, served by the half order.  Fries & cole slaw were also super delish!  I had the 'Diet Entree' lol of Grilled Blackened Chicken, Side Salad & Broccoli.  All absolutely delish!  It's rare to find healthy food in a pub.  \n\nLots of events here also, Tuesday Trivia Night, Karaoke Thursday & more when you check the website.  They also have an outdoor bar.  We will definitely be back to try more!""]",0.5,0.0,0.0,0.16666666666666666,0.3333333333333333,1.0,30.0
